Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:09:42 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=30, sum[0...30]=465, running on CPU=3, start=1726016982.695003, stop=1726016982.831346
Sep 10 21:09:42 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=31, sum[0...31]=496, running on CPU=3, start=1726016982.831497, stop=1726016982.972259
Sep 10 21:09:43 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=32, sum[0...32]=528, running on CPU=3, start=1726016982.972402, stop=1726016983.132365
Sep 10 21:09:43 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=33, sum[0...33]=561, running on CPU=3, start=1726016983.132513, stop=1726016983.297197
Sep 10 21:09:43 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=34, sum[0...34]=595, running on CPU=3, start=1726016983.297349, stop=1726016983.514087
Sep 10 21:09:43 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=35, sum[0...35]=630, running on CPU=3, start=1726016983.514242, stop=1726016983.687265
Sep 10 21:09:43 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=36, sum[0...36]=666, running on CPU=3, start=1726016983.687415, stop=1726016983.865438
Sep 10 21:09:44 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=37, sum[0...37]=703, running on CPU=3, start=1726016983.865590, stop=1726016984.048072
Sep 10 21:09:44 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=38, sum[0...38]=741, running on CPU=3, start=1726016984.048219, stop=1726016984.234591
Sep 10 21:09:44 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=39, sum[0...39]=780, running on CPU=3, start=1726016984.234736, stop=1726016984.477619
