Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: 
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: INITIAL 
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Pthread policy is SCHED_OTHER
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: ADJUSTED 
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: Pthread policy is SCHED_FIFO
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: main thread running on CPU=3, CPUs =
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  0
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  1
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  2
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]:  3
Sep 14 09:47:45 raspberrypi [COURSE:1][ASSIGNMENT:3]: starter thread running on CPU=3
Sep 14 09:47:47 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=31, sum[0...31]=496, running on CPU=3, start=1726321667.580983, stop=1726321667.721729
Sep 14 09:47:47 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=32, sum[0...32]=528, running on CPU=3, start=1726321667.721867, stop=1726321667.882078
Sep 14 09:47:48 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=33, sum[0...33]=561, running on CPU=3, start=1726321667.882224, stop=1726321668.046951
Sep 14 09:47:48 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=34, sum[0...34]=595, running on CPU=3, start=1726321668.047112, stop=1726321668.215656
Sep 14 09:47:48 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=35, sum[0...35]=630, running on CPU=3, start=1726321668.215805, stop=1726321668.436412
Sep 14 09:47:48 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=36, sum[0...36]=666, running on CPU=3, start=1726321668.436587, stop=1726321668.614578
Sep 14 09:47:48 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=37, sum[0...37]=703, running on CPU=3, start=1726321668.614725, stop=1726321668.797160
Sep 14 09:47:48 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=38, sum[0...38]=741, running on CPU=3, start=1726321668.797288, stop=1726321668.983626
Sep 14 09:47:49 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=39, sum[0...39]=780, running on CPU=3, start=1726321668.983764, stop=1726321669.174547
Sep 14 09:47:49 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=40, sum[0...40]=820, running on CPU=3, start=1726321669.174665, stop=1726321669.422037
Sep 14 09:47:49 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=41, sum[0...41]=861, running on CPU=3, start=1726321669.422179, stop=1726321669.622407
Sep 14 09:47:49 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=42, sum[0...42]=903, running on CPU=3, start=1726321669.622532, stop=1726321669.826662
Sep 14 09:47:50 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=43, sum[0...43]=946, running on CPU=3, start=1726321669.826798, stop=1726321670.035384
Sep 14 09:47:50 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=44, sum[0...44]=990, running on CPU=3, start=1726321670.035519, stop=1726321670.300672
Sep 14 09:47:50 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=45, sum[0...45]=1035, running on CPU=3, start=1726321670.300798, stop=1726321670.518824
Sep 14 09:47:50 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=46, sum[0...46]=1081, running on CPU=3, start=1726321670.518954, stop=1726321670.740899
Sep 14 09:47:50 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=47, sum[0...47]=1128, running on CPU=3, start=1726321670.741016, stop=1726321670.967464
Sep 14 09:47:51 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=48, sum[0...48]=1176, running on CPU=3, start=1726321670.967611, stop=1726321671.198988
Sep 14 09:47:51 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=49, sum[0...49]=1225, running on CPU=3, start=1726321671.199109, stop=1726321671.482523
Sep 14 09:47:51 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=50, sum[0...50]=1275, running on CPU=3, start=1726321671.482657, stop=1726321671.722370
Sep 14 09:47:51 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=51, sum[0...51]=1326, running on CPU=3, start=1726321671.722496, stop=1726321671.966682
Sep 14 09:47:52 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=52, sum[0...52]=1378, running on CPU=3, start=1726321671.966826, stop=1726321672.216023
Sep 14 09:47:52 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=53, sum[0...53]=1431, running on CPU=3, start=1726321672.216166, stop=1726321672.521347
Sep 14 09:47:52 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=54, sum[0...54]=1485, running on CPU=3, start=1726321672.521486, stop=1726321672.779069
Sep 14 09:47:53 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=55, sum[0...55]=1540, running on CPU=3, start=1726321672.779217, stop=1726321673.041194
Sep 14 09:47:53 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=56, sum[0...56]=1596, running on CPU=3, start=1726321673.041335, stop=1726321673.355869
Sep 14 09:47:53 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=57, sum[0...57]=1653, running on CPU=3, start=1726321673.355997, stop=1726321673.627419
Sep 14 09:47:53 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=58, sum[0...58]=1711, running on CPU=3, start=1726321673.627557, stop=1726321673.902866
Sep 14 09:47:54 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=59, sum[0...59]=1770, running on CPU=3, start=1726321673.903020, stop=1726321674.182772
Sep 14 09:47:54 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=60, sum[0...60]=1830, running on CPU=3, start=1726321674.182900, stop=1726321674.519237
Sep 14 09:47:54 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=61, sum[0...61]=1891, running on CPU=3, start=1726321674.519382, stop=1726321674.808607
Sep 14 09:47:55 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=62, sum[0...62]=1953, running on CPU=3, start=1726321674.808778, stop=1726321675.102193
Sep 14 09:47:55 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=63, sum[0...63]=2016, running on CPU=3, start=1726321675.102374, stop=1726321675.451577
Sep 14 09:47:55 raspberrypi [COURSE:1][ASSIGNMENT:3]: TEST COMPLETE
